symbol,timestamp,open,high,low,close,volume,trade_count,vwap
JPM,2016-01-04 00:00:00-05:00,63.95,64.06,63.01,63.62,27827227.0,145804.0,63.451452
JPM,2016-01-05 00:00:00-05:00,63.69,64.13,63.04,63.73,17591872.0,103027.0,63.519312
JPM,2016-01-06 00:00:00-05:00,62.7,63.125,62.34,62.81,24407202.0,124497.0,62.745693
JPM,2016-01-07 00:00:00-05:00,61.46,62.0,60.08,60.27,29310297.0,166584.0,60.834008
JPM,2016-01-08 00:00:00-05:00,61.13,61.27,58.85,58.92,24651311.0,135242.0,59.791316
JPM,2016-01-11 00:00:00-05:00,58.84,59.22,58.04,58.83,22817923.0,134809.0,58.731238
JPM,2016-01-12 00:00:00-05:00,59.45,59.56,58.1,58.96,25270274.0,139590.0,58.730376
JPM,2016-01-13 00:00:00-05:00,59.46,59.675,56.91,57.34,30217716.0,194351.0,58.090565
JPM,2016-01-14 00:00:00-05:00,58.16,59.38,57.29,58.2,33573741.0,192572.0,58.383831
JPM,2016-01-15 00:00:00-05:00,56.47,57.57,56.22,57.04,41554946.0,221156.0,56.83006
JPM,2016-01-19 00:00:00-05:00,57.73,57.97,56.51,57.01,24431201.0,149766.0,57.126429
JPM,2016-01-20 00:00:00-05:00,55.63,56.18,54.66,55.51,36466432.0,222739.0,55.378436
JPM,2016-01-21 00:00:00-05:00,55.74,56.52,55.06,55.25,36669282.0,179292.0,55.652162
JPM,2016-01-22 00:00:00-05:00,56.44,57.16,56.3,56.95,24764161.0,133419.0,56.787519
JPM,2016-01-25 00:00:00-05:00,56.48,56.85,55.6,55.66,22118832.0,139637.0,56.137613
JPM,2016-01-26 00:00:00-05:00,55.85,57.15,55.81,57.08,19392731.0,107516.0,56.810083
JPM,2016-01-27 00:00:00-05:00,57.1,58.2699,56.56,57.04,21426316.0,141369.0,57.31932
JPM,2016-01-28 00:00:00-05:00,57.52,57.97,56.63,57.28,16677125.0,109380.0,57.280159
JPM,2016-01-29 00:00:00-05:00,57.86,59.54,57.51,59.5,32348693.0,140585.0,58.803356
JPM,2016-02-01 00:00:00-05:00,59.16,59.65,58.44,58.86,17857599.0,113520.0,58.885386
JPM,2016-02-02 00:00:00-05:00,57.88,57.98,56.75,57.03,24152125.0,137045.0,57.134165
JPM,2016-02-03 00:00:00-05:00,57.37,57.795,55.015,57.41,33165548.0,220738.0,56.528525
JPM,2016-02-04 00:00:00-05:00,57.06,58.52,57.06,58.4,22461101.0,162630.0,58.024786
JPM,2016-02-05 00:00:00-05:00,58.59,59.14,57.42,57.75,23193618.0,148801.0,58.012289
JPM,2016-02-08 00:00:00-05:00,56.69,56.92,55.535,56.54,31118661.0,178984.0,56.179432
JPM,2016-02-09 00:00:00-05:00,55.29,56.69,55.13,56.2,28129371.0,178182.0,55.888975
JPM,2016-02-10 00:00:00-05:00,56.57,57.41,55.47,55.52,23681132.0,148964.0,56.246381
JPM,2016-02-11 00:00:00-05:00,53.91,53.91,52.5,53.07,47104421.0,272688.0,53.284123
JPM,2016-02-12 00:00:00-05:00,55.69,57.57,55.17,57.49,39131472.0,210861.0,56.728051
JPM,2016-02-16 00:00:00-05:00,58.23,58.6,57.64,58.35,27076385.0,140595.0,58.235512
JPM,2016-02-17 00:00:00-05:00,58.85,59.25,58.3947,58.77,23586374.0,126268.0,58.807965
JPM,2016-02-18 00:00:00-05:00,58.84,58.86,57.25,57.81,17907774.0,115875.0,57.855675
JPM,2016-02-19 00:00:00-05:00,57.45,58.17,57.075,57.82,16361894.0,94605.0,57.734419
JPM,2016-02-22 00:00:00-05:00,58.51,58.88,58.42,58.57,16155199.0,87337.0,58.611428
JPM,2016-02-23 00:00:00-05:00,57.9,58.09,55.96,56.12,33640603.0,175720.0,56.441625
JPM,2016-02-24 00:00:00-05:00,55.2,56.21,54.325,56.14,26721161.0,153704.0,55.245758
JPM,2016-02-25 00:00:00-05:00,56.13,57.03,56.04,57.01,15775282.0,93872.0,56.642365
JPM,2016-02-26 00:00:00-05:00,57.64,58.11,57.14,57.54,22158852.0,126766.0,57.628963
JPM,2016-02-29 00:00:00-05:00,57.41,57.605,56.29,56.3,21773410.0,103792.0,56.758477
JPM,2016-03-01 00:00:00-05:00,56.76,59.2,56.67,59.2,25376529.0,140786.0,58.40886
JPM,2016-03-02 00:00:00-05:00,59.2,59.9,58.96,59.76,21567990.0,126438.0,59.531177
JPM,2016-03-03 00:00:00-05:00,59.57,59.96,59.103,59.96,16844823.0,100103.0,59.658407
