series_id,year,period,value,footnote_codes
PCU5221--5221--               ,2003,M12,100,
PCU5221--5221--               ,2004,M01,107.9,
PCU5221--5221--               ,2004,M02,103.6,
PCU5221--5221--               ,2004,M03,101.6,
PCU5221--5221--               ,2004,M04,106.5,
PCU5221--5221--               ,2004,M05,103.1,
PCU5221--5221--               ,2004,M06,98.7,
PCU5221--5221--               ,2004,M07,100.5,
PCU5221--5221--               ,2004,M08,102,
PCU5221--5221--               ,2004,M09,102.6,
PCU5221--5221--               ,2004,M10,101.2,
PCU5221--5221--               ,2004,M11,101.5,
PCU5221--5221--               ,2004,M12,100.7,
PCU5221--5221--               ,2004,M13,102.5,
PCU5221--5221--               ,2005,M01,104.7,
PCU5221--5221--               ,2005,M02,100.7,
PCU5221--5221--               ,2005,M03,96.5,
PCU5221--5221--               ,2005,M04,104.2,
PCU5221--5221--               ,2005,M05,102.7,
PCU5221--5221--               ,2005,M06,105.1,
PCU5221--5221--               ,2005,M07,105.3,
PCU5221--5221--               ,2005,M08,105,
PCU5221--5221--               ,2005,M09,109.8,
PCU5221--5221--               ,2005,M10,106.6,
PCU5221--5221--               ,2005,M11,108.3,
PCU5221--5221--               ,2005,M12,110.6,
PCU5221--5221--               ,2005,M13,105,
PCU5221--5221--               ,2006,M01,110,
PCU5221--5221--               ,2006,M02,108.6,
PCU5221--5221--               ,2006,M03,101.3,
PCU5221--5221--               ,2006,M04,109.6,
PCU5221--5221--               ,2006,M05,108.8,
PCU5221--5221--               ,2006,M06,112.7,
PCU5221--5221--               ,2006,M07,111.4,
PCU5221--5221--               ,2006,M08,113.5,
PCU5221--5221--               ,2006,M09,117,
PCU5221--5221--               ,2006,M10,113.3,
PCU5221--5221--               ,2006,M11,114.3,
PCU5221--5221--               ,2006,M12,113.2,
PCU5221--5221--               ,2006,M13,111.2,
PCU5221--5221--               ,2007,M01,114.1,
PCU5221--5221--               ,2007,M02,113.7,
PCU5221--5221--               ,2007,M03,106,
PCU5221--5221--               ,2007,M04,113.9,
PCU5221--5221--               ,2007,M05,111.5,
PCU5221--5221--               ,2007,M06,114.4,
PCU5221--5221--               ,2007,M07,111.4,
PCU5221--5221--               ,2007,M08,115.9,
PCU5221--5221--               ,2007,M09,116.4,
PCU5221--5221--               ,2007,M10,112.8,
PCU5221--5221--               ,2007,M11,115.6,
PCU5221--5221--               ,2007,M12,107.6,
PCU5221--5221--               ,2007,M13,112.8,
PCU5221--5221--               ,2008,M01,108.1,
PCU5221--5221--               ,2008,M02,108.6,
PCU5221--5221--               ,2008,M03,98.6,
PCU5221--5221--               ,2008,M04,104,
PCU5221--5221--               ,2008,M05,102.8,
PCU5221--5221--               ,2008,M06,102.1,
PCU5221--5221--               ,2008,M07,100.4,
PCU5221--5221--               ,2008,M08,100.8,
PCU5221--5221--               ,2008,M09,100.8,
PCU5221--5221--               ,2008,M10,102.8,
PCU5221--5221--               ,2008,M11,104.1,
PCU5221--5221--               ,2008,M12,98.1,
PCU5221--5221--               ,2008,M13,102.6,
PCU5221--5221--               ,2009,M01,99.5,
PCU5221--5221--               ,2009,M02,97,
PCU5221--5221--               ,2009,M03,92.3,
PCU5221--5221--               ,2009,M04,95.5,
PCU5221--5221--               ,2009,M05,96.5,
PCU5221--5221--               ,2009,M06,96.6,
PCU5221--5221--               ,2009,M07,95.7,
PCU5221--5221--               ,2009,M08,96.8,
PCU5221--5221--               ,2009,M09,98,
PCU5221--5221--               ,2009,M10,100.6,
PCU5221--5221--               ,2009,M11,101.3,
PCU5221--5221--               ,2009,M12,100.6,
PCU5221--5221--               ,2009,M13,97.5,
PCU5221--5221--               ,2010,M01,103.5,
PCU5221--5221--               ,2010,M02,102.6,
PCU5221--5221--               ,2010,M03,95.5,
PCU5221--5221--               ,2010,M04,101.7,
PCU5221--5221--               ,2010,M05,102.2,
PCU5221--5221--               ,2010,M06,102.7,
PCU5221--5221--               ,2010,M07,104.3,
PCU5221--5221--               ,2010,M08,107,
PCU5221--5221--               ,2010,M09,105.5,
PCU5221--5221--               ,2010,M10,103.6,
